packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,waiting_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success,snr_db,mcs,is_los
ETC-000066,ETC,1,339,tx_fail_requeue,339,340,0,1,1,False,1,0.9836025101021391,False,5.379625349642982,QPSK,False
ETC-000066,ETC,1,339,dropped_deadline,339,340,1,1,1,True,1,0.0,False,,,
ETC-000067,ETC,1,340,delivered,340,341,0,1,1,False,1,0.003507389620808321,True,18.955974450950198,16QAM,False
HRP-000085,HRP,2,340,delivered,341,342,1,2,4,False,1,2.559943368396489e-10,True,27.34645666375599,16QAM,False
ETC-000068,ETC,1,342,delivered,342,343,0,1,1,False,1,1.2799716841982445e-10,True,28.899207630692494,16QAM,False
SRP-000017,SRP,3,340,delivered,343,344,3,4,50,False,1,0.03414779446250571,True,12.231133157288834,QPSK,False
ETC-000069,ETC,1,344,delivered,344,345,0,1,1,False,1,1.2799716841982445e-10,True,35.61881616845481,16QAM,False
HRP-000086,HRP,2,344,delivered,345,346,1,2,4,False,1,2.559943368396489e-10,True,34.87294052863433,16QAM,False
ETC-000070,ETC,1,346,delivered,346,347,0,1,1,False,1,1.2799716841982445e-10,True,38.6639729378839,16QAM,True
HRP-000087,HRP,2,348,delivered,348,349,0,1,4,False,1,0.00014405795633321006,True,20.634661639964836,16QAM,False
HRP-000088,HRP,2,352,delivered,352,353,0,1,4,False,1,0.0002083595078166134,True,20.499496157930906,16QAM,False
HRP-000089,HRP,2,356,delivered,356,357,0,1,4,False,1,2.559943368396489e-10,True,36.25237611159381,16QAM,False
HRP-000090,HRP,2,360,tx_fail_requeue,360,361,0,1,4,False,1,0.999999999999,False,-3.349700069657006,QPSK,False
ETC-000071,ETC,1,361,delivered,361,362,0,1,1,False,1,1.2799716841982445e-10,True,39.946782077940995,16QAM,True
HRP-000090,HRP,2,360,delivered,362,363,2,3,4,False,2,3.2855747008508907e-05,True,21.13864516167135,16QAM,False
SRP-000018,SRP,3,360,delivered,363,364,3,4,50,False,1,1.5999646052478056e-09,True,25.28577386462286,16QAM,False
HRP-000091,HRP,2,364,delivered,364,365,0,1,4,False,1,2.559943368396489e-10,True,31.16611113606624,16QAM,True
HRP-000092,HRP,2,368,delivered,368,369,0,1,4,False,1,0.002653697513349207,True,12.58117899875501,QPSK,False
ETC-000072,ETC,1,372,delivered,372,373,0,1,1,False,1,1.2799716841982445e-10,True,35.0178717183636,16QAM,True
HRP-000093,HRP,2,372,delivered,373,374,1,2,4,False,1,2.559943368396489e-10,True,33.543768792904196,16QAM,True
ETC-000073,ETC,1,374,delivered,374,375,0,1,1,False,1,3.4848985930313603e-07,True,22.23545514690735,16QAM,False
HRP-000094,HRP,2,376,delivered,376,377,0,1,4,False,1,2.559943368396489e-10,True,34.54603053279053,16QAM,True
ETC-000074,ETC,1,380,delivered,380,381,0,1,1,False,1,1.2799716841982445e-10,True,18.240629055810096,QPSK,False
HRP-000095,HRP,2,380,delivered,381,382,1,2,4,False,1,3.594429245701303e-05,True,14.212305288768547,QPSK,False
SRP-000019,SRP,3,380,delivered,382,383,2,3,50,False,1,0.0021024899757102755,True,20.31743139639235,16QAM,False
ETC-000075,ETC,1,383,delivered,383,384,0,1,1,False,1,1.0742925260487368e-07,True,15.600872533920962,QPSK,False
HRP-000096,HRP,2,384,tx_fail_requeue,384,385,0,1,4,False,1,0.999999999999,False,-2.002277371099554,QPSK,False
HRP-000096,HRP,2,384,tx_fail_requeue,385,386,1,2,4,False,2,0.9985329344450143,False,5.832531956218929,QPSK,False
HRP-000096,HRP,2,384,delivered,386,387,2,3,4,False,3,0.0005381081521093067,True,20.132154818147722,16QAM,False
HRP-000097,HRP,2,388,delivered,388,389,0,1,4,False,1,0.00014057124758659612,True,20.643493257433846,16QAM,False
HRP-000098,HRP,2,392,delivered,392,393,0,1,4,False,1,0.0006028751940376775,True,13.212084726673725,QPSK,False
ETC-000076,ETC,1,396,delivered,396,397,0,1,1,False,1,6.240654215616814e-09,True,23.15007646093644,16QAM,False
HRP-000099,HRP,2,396,delivered,397,398,1,2,4,False,1,2.559943368396489e-10,True,41.703671119415745,16QAM,True
ETC-000077,ETC,1,400,delivered,400,401,0,1,1,False,1,1.2799716841982445e-10,True,29.649026710721074,16QAM,True
HRP-000100,HRP,2,400,delivered,401,402,1,2,4,False,1,2.559943368396489e-10,True,41.621521345810784,16QAM,False
ETC-000078,ETC,1,402,delivered,402,403,0,1,1,False,1,1.2799716841982445e-10,True,36.46369290922572,16QAM,True
SRP-000020,SRP,3,400,delivered,403,404,3,4,50,False,1,0.0011776943314963928,True,20.536537977232182,16QAM,False
ETC-000079,ETC,1,404,delivered,404,405,0,1,1,False,1,6.367294047571193e-08,True,15.721148185976336,QPSK,False
HRP-000101,HRP,2,404,delivered,405,406,1,2,4,False,1,0.00019259256771642086,True,20.52865819132366,16QAM,False
HRP-000102,HRP,2,408,delivered,408,409,0,1,4,False,1,2.559943368396489e-10,True,32.87074055513766,16QAM,True
ETC-000080,ETC,1,409,delivered,409,410,0,1,1,False,1,2.944702259810583e-09,True,23.301807415761946,16QAM,False
ETC-000081,ETC,1,411,delivered,411,412,0,1,1,False,1,2.3807385663987546e-06,True,21.722000322699063,16QAM,False
HRP-000103,HRP,2,412,delivered,412,413,0,1,4,False,1,0.0007283843767226239,True,20.008339424875142,16QAM,False
ETC-000082,ETC,1,416,delivered,416,417,0,1,1,False,1,1.2799716841982445e-10,True,30.311425689727965,16QAM,False
