packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,first_tx_time_ms,delivered_time_ms,waiting_ms,queue_delay_ms,tx_time_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success,snr_db,mcs,is_los,bits_per_slot,bits_sent_this_slot,remaining_bits_after,bandwidth_eff_mhz
ETC-000046,ETC,1,224,delivered,224,225,224,225,0,0,1,1,1,False,1,1.2799716841982445e-10,True,34.138897812742535,16QAM,True,60000,128,0,20.0
HRP-000056,HRP,2,224,delivered,225,226,225,226,1,1,1,2,4,False,1,2.559943368396489e-10,True,49.54527853194599,16QAM,True,60000,256,0,20.0
ETC-000047,ETC,1,226,delivered,226,227,226,227,0,0,1,1,1,False,1,1.2799716841982445e-10,True,43.06786130341375,16QAM,True,60000,128,0,20.0
SRP-000011,SRP,3,220,delivered,227,228,227,228,7,7,1,8,50,False,1,1.5999646052478056e-09,True,32.57906907564431,16QAM,True,60000,1600,0,20.0
HRP-000057,HRP,2,228,delivered,228,229,228,229,0,0,1,1,4,False,1,3.3689104839140782e-09,True,23.411374944572213,16QAM,False,60000,256,0,20.0
ETC-000048,ETC,1,232,delivered,232,233,232,233,0,0,1,1,1,False,1,1.2799716841982445e-10,True,30.90885717350058,16QAM,True,60000,128,0,20.0
HRP-000058,HRP,2,232,delivered,233,234,233,234,1,1,1,2,4,False,1,2.559943368396489e-10,True,33.894219247663465,16QAM,False,60000,256,0,20.0
ETC-000049,ETC,1,235,delivered,235,236,235,236,0,0,1,1,1,False,1,1.2799716841982445e-10,True,43.539618537745895,16QAM,True,60000,128,0,20.0
HRP-000059,HRP,2,236,delivered,236,237,236,237,0,0,1,1,4,False,1,2.559943368396489e-10,True,40.78014910144372,16QAM,False,60000,256,0,20.0
ETC-000050,ETC,1,238,delivered,238,239,238,239,0,0,1,1,1,False,1,1.2799716841982445e-10,True,40.96917194283147,16QAM,False,60000,128,0,20.0
ETC-000051,ETC,1,240,delivered,240,241,240,241,0,0,1,1,1,False,1,1.2799716841982445e-10,True,44.3796848312985,16QAM,True,60000,128,0,20.0
HRP-000060,HRP,2,240,delivered,241,242,241,242,1,1,1,2,4,False,1,2.559943368396489e-10,True,37.98546408870852,16QAM,True,60000,256,0,20.0
ETC-000052,ETC,1,242,delivered,242,243,242,243,0,0,1,1,1,False,1,1.2799716841982445e-10,True,31.18691650493513,16QAM,False,60000,128,0,20.0
SRP-000012,SRP,3,240,delivered,243,244,243,244,3,3,1,4,50,False,1,1.5999646052478056e-09,True,42.740691883931405,16QAM,False,60000,1600,0,20.0
HRP-000061,HRP,2,244,delivered,244,245,244,245,0,0,1,1,4,False,1,2.559943368396489e-10,True,40.85969291817531,16QAM,False,60000,256,0,20.0
HRP-000062,HRP,2,248,delivered,248,249,248,249,0,0,1,1,4,False,1,2.559943368396489e-10,True,39.78943503874149,16QAM,True,60000,256,0,20.0
HRP-000063,HRP,2,252,delivered,252,253,252,253,0,0,1,1,4,False,1,2.559943368396489e-10,True,30.354101069123146,16QAM,False,60000,256,0,20.0
ETC-000053,ETC,1,256,delivered,256,257,256,257,0,0,1,1,1,False,1,1.2799716841982445e-10,True,37.62561918210161,16QAM,True,60000,128,0,20.0
HRP-000064,HRP,2,256,delivered,257,258,257,258,1,1,1,2,4,False,1,2.559943368396489e-10,True,37.166135824044936,16QAM,False,60000,256,0,20.0
