packet_id,attempt_idx,t_tx_start_ms,mcs,snr_db,bler,is_success,bits_sent,remaining_bits_after
ETC-000071,1,361,16QAM,55.97393766382683,1.2799716841982445e-10,True,128,0
SRP-000018,1,362,16QAM,66.5679055610072,1.5999646052478056e-09,True,600,1000
SRP-000018,2,363,16QAM,52.819284378009485,1.5999646052478056e-09,True,600,400
HRP-000091,1,364,16QAM,45.36254458831934,2.559943368396489e-10,True,256,0
SRP-000018,3,365,16QAM,61.880214394499674,1.5999646052478056e-09,True,400,0
HRP-000092,1,368,16QAM,62.95149701758744,2.559943368396489e-10,True,256,0
ETC-000072,1,372,16QAM,62.15514239095826,1.2799716841982445e-10,True,128,0
HRP-000093,1,373,16QAM,66.99118876020417,2.559943368396489e-10,True,256,0
ETC-000073,1,374,16QAM,61.81914965118598,1.2799716841982445e-10,True,128,0
HRP-000094,1,376,16QAM,67.91064058571534,2.559943368396489e-10,True,256,0
ETC-000074,1,380,16QAM,66.40180783540887,1.2799716841982445e-10,True,128,0
HRP-000095,1,381,16QAM,56.374915283003034,2.559943368396489e-10,True,256,0
SRP-000019,1,382,16QAM,57.148546759942235,1.5999646052478056e-09,True,600,1000
ETC-000075,1,383,16QAM,59.366422806260886,1.2799716841982445e-10,True,128,0
HRP-000096,1,384,16QAM,61.82333376516296,2.559943368396489e-10,True,256,0
SRP-000019,2,385,16QAM,63.62618412336411,1.5999646052478056e-09,True,600,400
SRP-000019,3,386,16QAM,63.0362020228082,1.5999646052478056e-09,True,400,0
HRP-000097,1,388,16QAM,63.997696709027366,2.559943368396489e-10,True,256,0
HRP-000098,1,392,16QAM,46.11108016935607,2.559943368396489e-10,True,256,0
ETC-000076,1,396,16QAM,54.33011659750881,1.2799716841982445e-10,True,128,0
HRP-000099,1,397,16QAM,55.106006077252886,2.559943368396489e-10,True,256,0
ETC-000077,1,400,16QAM,68.45857195177165,1.2799716841982445e-10,True,128,0
HRP-000100,1,401,16QAM,53.880123285131276,2.559943368396489e-10,True,256,0
ETC-000078,1,402,16QAM,46.18479207669451,1.2799716841982445e-10,True,128,0
SRP-000020,1,403,16QAM,56.850374503406364,1.5999646052478056e-09,True,600,1000
ETC-000079,1,404,16QAM,67.44019828754718,1.2799716841982445e-10,True,128,0
HRP-000101,1,405,16QAM,56.24825281272082,2.559943368396489e-10,True,256,0
SRP-000020,2,406,16QAM,46.65268222398454,1.5999646052478056e-09,True,600,400
SRP-000020,3,407,16QAM,58.3676635274379,1.5999646052478056e-09,True,400,0
HRP-000102,1,408,16QAM,48.27375987491128,2.559943368396489e-10,True,256,0
ETC-000080,1,409,16QAM,60.87411275568938,1.2799716841982445e-10,True,128,0
ETC-000081,1,411,16QAM,59.6732339588217,1.2799716841982445e-10,True,128,0
HRP-000103,1,412,16QAM,59.751345652552,2.559943368396489e-10,True,256,0
ETC-000082,1,416,16QAM,62.75715995088746,1.2799716841982445e-10,True,128,0
HRP-000104,1,417,16QAM,60.64001338127068,2.559943368396489e-10,True,256,0
HRP-000105,1,420,16QAM,52.497175857387866,2.559943368396489e-10,True,256,0
SRP-000021,1,421,16QAM,60.28807817652013,1.5999646052478056e-09,True,600,1000
