packet_id,flow_id,priority,t_arrival_ms,t_first_tx_ms,t_done_ms,queue_delay_ms,sojourn_ms,deadline_ms,is_deadline_missed,outcome,tx_count,is_success,mcs,snr_db,bler,bandwidth_eff_mhz,bits_per_slot_eff,packet_bits
SRP-000015,SRP,3,300,301,306,1,6,50,False,delivered,3,True,16QAM,65.29486308288875,1.5999646052478056e-09,0.2,600,1600
ETC-000060,ETC,1,302,302,303,0,1,1,False,delivered,1,True,16QAM,66.97998317419359,1.2799716841982445e-10,0.2,600,128
HRP-000076,HRP,2,304,304,305,0,1,4,False,delivered,1,True,16QAM,50.16120407411701,2.559943368396489e-10,0.2,600,256
ETC-000061,ETC,1,308,308,309,0,1,1,False,delivered,1,True,16QAM,63.3592591030512,1.2799716841982445e-10,0.2,600,128
HRP-000077,HRP,2,308,309,310,1,2,4,False,delivered,1,True,16QAM,62.915457799225905,2.559943368396489e-10,0.2,600,256
HRP-000078,HRP,2,312,312,313,0,1,4,False,delivered,1,True,16QAM,60.643242234421315,2.559943368396489e-10,0.2,600,256
ETC-000062,ETC,1,313,313,314,0,1,1,False,delivered,1,True,16QAM,62.579317745596384,1.2799716841982445e-10,0.2,600,128
HRP-000079,HRP,2,316,316,317,0,1,4,False,delivered,1,True,16QAM,53.90849284710629,2.559943368396489e-10,0.2,600,256
ETC-000063,ETC,1,319,319,320,0,1,1,False,delivered,1,True,16QAM,70.60180589828329,1.2799716841982445e-10,0.2,600,128
HRP-000080,HRP,2,320,320,321,0,1,4,False,delivered,1,True,16QAM,71.82944462289721,2.559943368396489e-10,0.2,600,256
SRP-000016,SRP,3,320,321,324,1,4,50,False,delivered,3,True,16QAM,59.80592795238603,1.5999646052478056e-09,0.2,600,1600
HRP-000081,HRP,2,324,324,325,0,1,4,False,delivered,1,True,16QAM,67.65144565615462,2.559943368396489e-10,0.2,600,256
HRP-000082,HRP,2,328,328,329,0,1,4,False,delivered,1,True,16QAM,70.85794757916672,2.559943368396489e-10,0.2,600,256
ETC-000064,ETC,1,329,329,330,0,1,1,False,delivered,1,True,16QAM,69.40558863279692,1.2799716841982445e-10,0.2,600,128
HRP-000083,HRP,2,332,332,333,0,1,4,False,delivered,1,True,16QAM,32.532284148902136,2.559943368396489e-10,0.2,600,256
HRP-000084,HRP,2,336,336,337,0,1,4,False,delivered,1,True,16QAM,60.691259776924255,2.559943368396489e-10,0.2,600,256
ETC-000065,ETC,1,337,337,338,0,1,1,False,delivered,1,True,16QAM,67.8039331132308,1.2799716841982445e-10,0.2,600,128
ETC-000066,ETC,1,339,339,340,0,1,1,False,delivered,1,True,16QAM,55.9810615365314,1.2799716841982445e-10,0.2,600,128
ETC-000067,ETC,1,340,340,341,0,1,1,False,delivered,1,True,16QAM,63.63673352816528,1.2799716841982445e-10,0.2,600,128
HRP-000085,HRP,2,340,341,342,1,2,4,False,delivered,1,True,16QAM,55.86628305924169,2.559943368396489e-10,0.2,600,256
SRP-000017,SRP,3,340,343,350,3,10,50,False,delivered,3,True,16QAM,62.516661304969006,1.5999646052478056e-09,0.2,600,1600
ETC-000068,ETC,1,342,342,343,0,1,1,False,delivered,1,True,16QAM,61.727225810720476,1.2799716841982445e-10,0.2,600,128
ETC-000069,ETC,1,344,344,345,0,1,1,False,delivered,1,True,16QAM,46.63422581445724,1.2799716841982445e-10,0.2,600,128
HRP-000086,HRP,2,344,345,346,1,2,4,False,delivered,1,True,16QAM,63.44883036319578,2.559943368396489e-10,0.2,600,256
ETC-000070,ETC,1,346,346,347,0,1,1,False,delivered,1,True,16QAM,39.26349408604288,1.2799716841982445e-10,0.2,600,128
HRP-000087,HRP,2,348,348,349,0,1,4,False,delivered,1,True,16QAM,64.24206184087136,2.559943368396489e-10,0.2,600,256
HRP-000088,HRP,2,352,352,353,0,1,4,False,delivered,1,True,16QAM,62.29348700273904,2.559943368396489e-10,0.2,600,256
HRP-000089,HRP,2,356,356,357,0,1,4,False,delivered,1,True,16QAM,52.16643662671891,2.559943368396489e-10,0.2,600,256
HRP-000090,HRP,2,360,360,361,0,1,4,False,delivered,1,True,16QAM,36.71775274684114,2.559943368396489e-10,0.2,600,256
SRP-000018,SRP,3,360,362,366,2,6,50,False,delivered,3,True,16QAM,61.880214394499674,1.5999646052478056e-09,0.2,600,1600
ETC-000071,ETC,1,361,361,362,0,1,1,False,delivered,1,True,16QAM,55.97393766382683,1.2799716841982445e-10,0.2,600,128
HRP-000091,HRP,2,364,364,365,0,1,4,False,delivered,1,True,16QAM,45.36254458831934,2.559943368396489e-10,0.2,600,256
HRP-000092,HRP,2,368,368,369,0,1,4,False,delivered,1,True,16QAM,62.95149701758744,2.559943368396489e-10,0.2,600,256
ETC-000072,ETC,1,372,372,373,0,1,1,False,delivered,1,True,16QAM,62.15514239095826,1.2799716841982445e-10,0.2,600,128
HRP-000093,HRP,2,372,373,374,1,2,4,False,delivered,1,True,16QAM,66.99118876020417,2.559943368396489e-10,0.2,600,256
ETC-000073,ETC,1,374,374,375,0,1,1,False,delivered,1,True,16QAM,61.81914965118598,1.2799716841982445e-10,0.2,600,128
HRP-000094,HRP,2,376,376,377,0,1,4,False,delivered,1,True,16QAM,67.91064058571534,2.559943368396489e-10,0.2,600,256
ETC-000074,ETC,1,380,380,381,0,1,1,False,delivered,1,True,16QAM,66.40180783540887,1.2799716841982445e-10,0.2,600,128
HRP-000095,HRP,2,380,381,382,1,2,4,False,delivered,1,True,16QAM,56.374915283003034,2.559943368396489e-10,0.2,600,256
SRP-000019,SRP,3,380,382,387,2,7,50,False,delivered,3,True,16QAM,63.0362020228082,1.5999646052478056e-09,0.2,600,1600
ETC-000075,ETC,1,383,383,384,0,1,1,False,delivered,1,True,16QAM,59.366422806260886,1.2799716841982445e-10,0.2,600,128
HRP-000096,HRP,2,384,384,385,0,1,4,False,delivered,1,True,16QAM,61.82333376516296,2.559943368396489e-10,0.2,600,256
HRP-000097,HRP,2,388,388,389,0,1,4,False,delivered,1,True,16QAM,63.997696709027366,2.559943368396489e-10,0.2,600,256
HRP-000098,HRP,2,392,392,393,0,1,4,False,delivered,1,True,16QAM,46.11108016935607,2.559943368396489e-10,0.2,600,256
ETC-000076,ETC,1,396,396,397,0,1,1,False,delivered,1,True,16QAM,54.33011659750881,1.2799716841982445e-10,0.2,600,128
HRP-000099,HRP,2,396,397,398,1,2,4,False,delivered,1,True,16QAM,55.106006077252886,2.559943368396489e-10,0.2,600,256
